Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI
-28.760833,17.730278,02-01-2011,11190,11426,7687.5,7645,0.185538339,0.195594737
-26.861111,28.884722,03-01-2011,17658.5,9550,13746.5,10574,0.124566152,-0.180134355
-26.45,28.085833,03-01-2011,15210,10720,17974,14201,-0.083293153,-0.252805465
-27.671111,27.236944,03-01-2011,14887,10943,13522,11403,0.048048154,-0.1054159
-27.356667,27.286389,03-01-2011,16828.5,9502.5,12665.5,9643,0.141147352,-0.142683147
-27.01011111,26.69808333,04-01-2011,12433.5,10433.5,9579.5,8531.5,0.129650661,0.042672263
-25.127778,27.628889,04-01-2011,7814,5189.5,6664,5222,0.079430861,-0.124393639
-25.20639,27.558,04-01-2011,14137.5,10466.5,10315.5,8536,0.156299841,0.007265903
-24.69514,27.40906,04-01-2011,15543,10647,11919.5,9642.5,0.131943559,-0.056388895
-26.98472222,26.63227778,04-01-2011,13683,10207,14011.5,11850.5,-0.011861561,-0.157090654
-28.141944,26.417778,04-01-2011,14391,9840,13799.5,11265,0.020982246,-0.167495082
-27.398611,26.614722,04-01-2011,15515.5,10247,12823,10403.5,0.095012086,-0.111660165
-33.501667,21.624167,04-01-2011,,,,,,
-32.502778,19.535833,04-01-2011,17653,13104,19330,16984,-0.045345159,-0.191959055
-25.45963889,28.26430556,04-01-2011,13959,9926,15156.5,12552.5,-0.041129295,-0.208531845
-27.495556,26.074722,04-01-2011,17937.5,11044.5,18143.5,14152.5,-0.005709376,-0.24321639
-26.648056,27.089444,05-01-2011,19310.5,9597,12954.5,9447.5,0.196993646,-0.148881449
-26.970278,27.211111,05-01-2011,10218,11040,7946.5,7735,0.125051612,0.162931557
-27.38972222,26.46388889,05-01-2011,11481,11597,8583,8196.5,0.144437799,0.149355798
-27.044444,27.005,05-01-2011,17418.5,9908,13987,10115,0.109264301,-0.170705168
-30.830556,26.921389,06-01-2011,5266.5,4491,3672.5,3764.5,0.178319723,0.100263367
-27.00222,28.76528,06-01-2011,13724,9691,13005.5,10754.5,0.026880413,-0.146035732
-27.02314,28.59389,06-01-2011,11490.5,9969.5,10372.5,9135,0.051136624,-0.019811228
-30.679722,26.7125,06-01-2011,13400,10548,7764,7659,0.266301266,0.152031455
-30.160091,27.40124,06-01-2011,14158,10060,12037.5,10023.5,0.080949018,-0.089489761
-32.595833,19.009444,06-01-2011,15218.5,10334,14735,12208.5,0.016141686,-0.175555467
-25.99136,27.84208,10-01-2011,18631.5,11771.5,16495,12815,0.060823025,-0.167105938
-26.73806,27.59194,10-01-2011,9089.5,9167,7963,7740,0.066060695,0.070286048
-26.45,28.085833,10-01-2011,15210,10720,17974,14201,-0.083293153,-0.252805465
